variableMetadata	set	gene	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M159.4283T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M159T2.46	159.428310306158	113.169051614576		[M+Na+NH3]+ 119.411	2	NA		-0.339366790219055	0.188311443415962	0	0.0398020591357788	0.971840316295551	0	0.948664833224178		0
M345.1897T6.69	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M345T7	345.189737340211	401.512407319829		[M+Na]+ 322.2	73	336	@M323.2077T6.69|+Na	-0.233232585352297	0.188311443415962	0	-1.51613867893971	1.96265121777092e-06	1	0.200189477202012		0
M126.9723T1.26	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M127T1.25	126.972312665792	75.5273527976727		[M+Na]+ 103.981 [M+H]+ 125.963	1	NA		-0.331418472234764	0.188398761315343	0	-0.348826439471313	0.27743887413693	0	0.692962431776126		0
M588.1107T6.01	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M588T6.3	588.110726112442	360.354074328267		[M+Na+NaCOOH]+ 497.15	76	NA		-0.550023675737638	0.188986162692339	0	-1.28883930276539	0.0172892175801568	1	0.484655403014255		0
M161.9831T1.89	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M162T2.19	161.983097087118	113.132484702566			2	NA		-0.381269673939547	0.188986162692339	0	0.048825782758394	0.962836352254967	0	1.0158058621439		0
M593.7091T5.05	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M594T5.1	593.709128264288	302.950646710448		[M+Na]+ 570.718 [M+H]+ 592.708	8	NA		-0.533263409100181	0.189053154788777	0	0.966083566402121	0.0214774035325887	1	0.795551917662311		0
M641.5156T18.42	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M642T18	641.515615398318	1105.49773982434	[1284][M]+		1615	723	@M642.5192T18.43|-13C	-1.42705873471334	0.189067463859006	0	-0.936884222280813	0.500927193534784	0	0.847514631303162		0
M466.1151T1.79	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M466T2	466.115075099985	107.698113942752			63	NA		0.861615938884173	0.189067463859006	0	0.408606045559253	0.634110643877266	0	0.927627740860703		0
M390.1999T1.33	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M390T1.2	390.199920243388	80.0521677845968		[M+Na]+ 367.21 [M+H+NH3]+ 372.168	56	NA		-0.450349424897118	0.189098397236573	0	-0.0151880886297207	0.937149301677949	0	0.94927046462468		0
M342.2721T7.96	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M342T8	342.272105478345	477.390647425252	[607][M+1]+		1380	244	@M306.2509T7.96|+2(H2O)|@M324.2615T7.96|+(H2O)|@M341.2688T7.96|+13C|@M360.2826T7.95|-(H2O)	0.268004218670422	0.189098397236573	0	-0.296886269865036	0.238083064510908	0	0.853308916442054		0
M536.9618T5.14	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M537T5.2	536.961796420097	308.142738773503		[M+Na+NH3]+ 496.944	94	NA		-1.03069988306051	0.189173629025678	0	-0.745485933417989	0.45594461985701	0	0.653201459910404		0
M275.1161T10.43	metabolomics_liver_c18hypersil_pos	LAT	c18hypersil													M275T10	275.116144264359	625.699680699567			1158	NA		-0.966132806147968	0.189173629025678	0	-1.83260607677675	0.0507101580030321	0	0.600330787251753		0
