variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M822.8767T5.44	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M823T5	822.876743024597	326.162655638877	[1345][M]2+		1171	589	@M821.8737T5.43|+13C|@M822.3753T5.43|+13Cdb|@M823.3773T5.43|-13Cdb	0.803503962763099	0.269933202421104	0	-0.77767685283089	0.0794072809574737	0	2.01034591704291		0
M247.13T3.08	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M247T3	247.130023921946	184.948789989105	[297][M]+		4033	141	@M248.1334T3.08|-13C	-0.660603976534086	0.270265067735552	0	0.717544990867154	0.0470137346883307	1	1.45894072055722		0
M358.1626T2.05	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M358T2	358.162578487935	123.030487346566			3254	NA		-1.27984271472703	0.270579410052909	0	-0.622948075503091	0.464181990292759	0	1.88829622839646		0
M509.1366T4.77	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M509T5	509.136636395661	286.378463180446	[857][M]+	[3M+2K-H]+ 144.08	101	380	@M510.1402T4.77|-13C	0.468902224358844	0.270579410052909	0	1.15048161024164	4.83485541901313e-06	1	1.40924497278568		0
M225.0877T3.37	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M225T3.12	225.087713176142	202.459443287848			3013	NA		4.36950556685036	0.279879801201923	0	0.252560997011374	0.983838875850317	0	2.35544179116614		0
M432.9022T5.73	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M433T6.1	432.90224024543	343.600332767294		[M+Na]+ 409.916	88	NA		0.6384571570399	0.279879801201923	0	0.160179554180788	0.761036565814305	0	2.15321643450895		0
M469.7296T5.38	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M470T5	469.729572481617	322.632430918779	[785][M]2+		1130	340	@M470.231T5.37|-13Cdb	-0.483344035256319	0.279879801201923	0	0.203080744125034	0.475581088502061	0	1.7685804421809		0
M336.2263T7.85	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M336T8	336.22633642331	471.081637816991	[526][M+1]+		4	NA		2.33418998084548	0.281729530207907	0	-0.782018871149539	0.564064876233288	0	2.37235068430426		0
M416.929T5.43	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M417T5	416.928976173835	326.032035268015	[677][M]2+		1116	300	@M417.4304T5.43|-13Cdb	0.807545080549316	0.281729530207907	0	-0.889278608903371	0.0469330181307985	1	1.88011152259836		0
M820.5495T6.14	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M821T6	820.549485720491	368.675790565277		[M+H]+ 819.549	79	NA		3.00914847984849	0.284311440262913	0	-1.06351893964377	0.545158112143541	0	2.1829003856305		0
M289.0326T4.11	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M289T4	289.032586481202	246.689350156952			2485	196	@M311.0146T4.1|-Na	1.65993774883247	0.291455005978976	0	0.546702613639503	0.65826463908326	0	2.5970994014111		0
M167.6843T1.9	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M168T2.6	167.68426790033	114.065911550022		[M+K]+ 128.721 [M+Na]+ 144.698	6	NA		-0.524384914118635	0.291455005978976	0	-0.0734926816345656	0.893025506296994	0	2.02443221710786		0
M388.1371T2.1	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M388T2	388.137095805537	125.7516223611			3192	NA		-0.516254482458045	0.291455005978976	0	-0.682961439925494	0.012477631142516	1	1.83983152321867		0
M304.1516T3.73	metabolomics_plasma_c18hypersil_pos	MX2	c18hypersil			NA									NA			M304T4	304.15155007702	223.633555029322	[473][M]+		4577	NA		-0.468361457088891	0.291455005978976	0	0.182181467294658	0.508831129149843	0	2.07479065149427		0
